Region/Province/City/Municipality/Legislative/Provincial District,Number of Established Precincts,Number of Clustered Precincts,Number of Registered Voters,Number of Voters Who Actually Voted,Voters' Turnout (%)
Bangued,206,57,34570,30197,87.35
Danglas,24,8,3502,3223,92.03
Dolores,56,18,8765,7749,88.41
La Paz,78,22,11146,10850,97.34
Lacub,22,10,3047,2579,84.64
Lagangilang,68,22,10614,8844,83.32
Lagayan,23,6,3453,2983,86.39
Licuan-Baay,32,11,4292,3722,86.72
Malibcong,22,12,3084,2719,88.16
San Juan,50,20,7790,6480,83.18
Tayum,69,19,10571,9240,87.41
Tineg,25,13,3169,2678,84.51
APAYAO,496,167,78454,67563,86.12
1st Provincial District,236,80,37396,32211,86.13
Calanasan,56,20,8552,7565,88.46
Conner,102,33,17071,14757,86.44
Kabugao,78,27,11773,9889,84.00 
2nd Provincial District,260,87,41058,35352,86.10 
Flora,66,23,11449,9735,85.03
Luna,79,24,11598,10161,87.61
Pudtol,61,25,9692,8264,85.27
Santa Marcela,54,15,8319,7192,86.45
BENGUET,2532,764,411974,348689,84.64
Lone Legislative District,1535,491,243756,209228,85.84
1st Provincial District,573,180,89165,76483,85.78
Bokod,65,23,10357,9161,88.45
Itogon,233,65,33243,28888,86.90 
Kabayan,61,22,10092,8887,88.06
Sablan,50,18,8333,6944,83.33
Tuba,164,52,27140,22603,83.28
2nd Provincial District,962,311,154591,132745,85.87
Atok,76,28,11817,10293,87.10 
Bakun,61,25,10262,8977,87.48
Buguias,150,56,24686,21206,85.90 
Kapangan,100,33,14132,11583,81.96
Kibungan,64,27,10055,8612,85.65
La Trinidad,303,80,50990,43801,85.90 
Mankayan,139,40,21338,18331,85.91
Tublay,69,22,11311,9942,87.90 
City of Baguio,997,273,168218,139461,82.90 
IFUGAO,951,281,134428,113067,84.11
1st Provincial District,571,157,78667,65250,82.94
Asipulo,54,20,8071,7157,88.68
Hingyon,62,18,8838,6986,79.05
Hungduan,51,14,6311,5377,85.20 
Kiangan,79,25,12347,9609,77.82
Lagawe,105,27,13064,10836,82.95
Lamut,152,33,18658,15554,83.36
Tinoc,68,20,11378,9731,85.52
2nd Provincial District,380,124,55761,47817,85.75
Aguinaldo,81,31,12272,11228,91.49
Alfonso Lista,137,38,20768,17952,86.44
Banaue,98,28,14892,11858,79.63
Mayoyao,64,27,7829,6779,86.59
KALINGA,995,298,154423,135897,88.00 
1st Provincial District,416,130,59823,53091,88.75
Balbalan,71,28,9602,8461,88.12
Lubuagan,71,22,10344,9464,91.49
Pasil,55,17,7212,6501,90.14
Pinukpuk,133,40,21254,18224,85.74
Tinglayan,86,23,11411,10441,91.50 
2nd Provincial District,579,168,94600,82806,87.53
Rizal,82,25,13919,12222,87.81
Tanudan,66,23,10400,9163,88.11
City of Tabuk,431,120,70281,61421,87.39
MOUNTAIN PROVINCE,752,248,115925,96471,83.22
Lone Legislative District,,,,,
1st Provincial District,360,113,54653,46433,84.96
Barlig,32,11,4264,3362,78.85
Bontoc,113,30,17135,14427,84.2
Natonin,55,17,8191,6915,84.42
Paracelis,119,44,18887,16289,86.24
Sadanga,41,11,6176,5440,88.08
2nd Provincial District,392,135,61272,50038,81.67
Bauko,161,50,25511,20020,78.48
Besao,43,17,6152,4936,80.23
Sabangan,56,19,8583,7243,84.39
Sagada,51,23,8435,7176,85.07
Tadian,81,26,12591,10663,84.69
REGION I,23270,6127,3546764,3104841,87.54
ILOCOS NORTE,2789,822,434114,380721,87.70 
1st Legislative District,1453,430,228024,196629,86.23
Adams,14,3,2103,1768,84.07
Bacarra,142,47,22190,20084,90.51
Bangui,68,21,11414,10020,87.79
Burgos,48,14,7480,6636,88.72
Carasi,10,3,1360,1221,89.78
Dumalneg,13,4,2067,1843,89.16
Pagudpud,125,31,18452,16725,90.64
Pasuquin,171,47,23855,19506,81.77
Piddig,96,31,15059,13553,90.00 
Sarrat,126,34,18115,15968,88.15
Vintar,149,46,22110,19697,89.09
City of Laoag,491,149,83819,69608,83.05
2nd Legislative District,1336,392,206090,184092,89.33
Badoc,145,42,22194,19828,89.34
Banna,95,22,13014,11610,89.21
Currimao,69,25,10557,9635,91.27
Dingras,163,47,26286,23446,89.20 
Marcos,82,24,13022,11721,90.01
Nueva Era,40,12,6072,5279,86.94
Paoay,130,38,17543,15863,90.42
Pinili,78,29,12486,11356,90.95
San Nicolas,168,44,26712,23327,87.33
Solsona,113,36,18607,16201,87.07
City of Batac,253,73,39597,35826,90.48
ILOCOS SUR,3182,1007,476984,424693,89.04
1st Legislative District,1344,392,201188,181982,90.45
Bantay,163,42,22324,19757,88.50 
Cabugao,173,50,27278,25441,93.27
Caoayan,93,26,14080,12751,90.56
Magsingal,120,39,20443,18584,90.91
San Ildefonso,45,15,5836,5249,89.94
San Juan,115,36,19186,16448,85.73
San Vicente,63,15,8718,8116,93.09
Santa Catalina,73,18,10617,9492,89.40 
Santo Domingo,152,40,19871,17964,90.40 
Sinait,135,47,18752,17166,91.54
City of Vigan,212,64,34083,31014,91.00 
nd Legislative District,1838,615,275796,242711,88.00 
Alilem,31,12,4974,4249,85.42
Banayoyo,43,17,6246,5630,90.14
Burgos,66,27,9082,7984,87.91
Cervantes,83,25,12070,10385,86.04
Galimuyod,55,26,7431,6682,89.92
Gregorio del Pilar,27,8,3423,2961,86.50 
Lidlidda,24,12,3601,3148,87.42
Nagbukel,31,12,4076,3541,86.87
Narvacan,230,62,31510,28023,88.93
Quirino,45,19,7145,5777,80.85
Salcedo,57,22,7930,6992,88.17
San Emilio,39,14,5570,4938,88.65
San Esteban,41,11,6190,5543,89.55
Santa,76,27,10293,8968,87.13
Santa Cruz,163,56,26351,22414,85.06
Santa Lucia,108,37,17176,15276,88.94
Santa Maria,124,42,20786,18300,88.04
Santiago,95,29,13139,11910,90.65
Sigay,16,8,2071,1859,89.76
Sugpon,20,8,2726,2433,89.25
Suyo,61,19,7635,6612,86.60 
Tagudin,166,54,27818,24924,89.60 
City of Candon,237,68,38553,34162,88.61
LA UNION,3711,959,538730,471231,87.47
1st Legislative District,1678,447,243178,213909,87.96
Bacnotan,186,59,27909,24296,87.05
Balaoan,167,48,26142,23245,88.92
Bangar,153,42,23673,20073,84.79
Luna,193,50,25135,22339,88.88
San Gabriel,93,23,13202,11845,89.72
San Juan,197,54,27002,23841,88.29
Santol,65,20,9587,8381,87.42
Sudipen,106,27,13973,11799,84.44
City of San Fernando,518,124,76555,68090,88.94
2nd Legislative District,2033,512,295552,257322,87.06
Agoo,285,75,44058,39146,88.85
Aringay,225,56,32696,28784,88.04
Bagulin,70,16,9608,8711,90.66
Bauang,362,88,52808,44158,83.62
Burgos,41,14,6733,5906,87.72
Caba,125,33,17787,15007,84.37
Naguilian,249,61,36150,31732,87.78
Pugo,98,22,12786,11142,87.14
Rosario,239,65,36528,31956,87.48
Santo Tomas,181,46,25929,22795,87.91
Tubao,158,36,20469,17985,87.86
PANGASINAN,13588,3339,2096936,1828196,87.18
1st Legislative District,1953,477,294221,255660,86.89
Agno,153,36,20368,18060,88.67
Anda,178,42,27028,23179,85.76
Bani,215,53,31687,27640,87.23
Bolinao,334,74,48329,41537,85.95
Burgos,103,25,14103,12274,87.03
Dasol,166,37,23178,20555,88.68
Infanta,117,28,17534,15372,87.67
Mabini,130,32,17808,15636,87.80 
Sual,206,51,31640,27933,88.28
City of Alaminos,351,99,62546,53474,85.50 
2nd Legislative District,2213,565,351684,309536,88.02
Aguilar,193,46,29400,26377,89.72
Basista,174,38,25118,22187,88.33
Binmaley,408,94,63908,53975,84.46
Bugallon,257,72,48419,43703,90.26
Labrador,144,29,18974,16816,88.63
Lingayen,405,121,72144,63564,88.11
Mangatarem,358,106,54377,47586,87.51
Urbiztondo,274,59,39344,35328,89.79
3rd Legislative District,2850,710,441956,382636,86.58
Bayambang,563,146,83083,72013,86.68
Calasiao,402,97,66216,58654,88.58
Malasiqui,524,145,85815,74554,86.88
Mapandan,172,39,25605,23065,90.08
Santa Barbara,361,84,54954,49465,90.01
City of San Carlos,828,199,126283,104885,83.06
4th Legislative District,2166,502,340564,299802,88.03
Manaoag,292,75,47571,41289,86.79
Mangaldan,434,102,67912,60287,88.77
San Fabian,349,86,57896,48404,83.61
San Jacinto,199,45,28464,25154,88.37
City of Dagupan,892,194,138721,124668,89.87
5th Legislative District,2360,551,352414,306719,87.03
Alcala,236,47,30948,27038,87.37
Bautista,141,35,22290,19691,88.34
Binalonan,278,63,40141,33704,83.96
Laoac,156,40,22336,20040,89.72
Pozorrubio,324,83,53402,43956,82.31
Santo Tomas,70,18,9720,8634,88.83
Sison,231,55,32704,28814,88.11
illasis,307,67,44902,39748,88.52
City of Urdaneta,617,143,95971,85094,88.67
6th Legislative District,2046,534,316097,273843,86.63
Asingan,262,62,40341,35230,87.33
Balungao,123,37,20935,18125,86.58
Natividad,126,33,17981,15817,87.97
Rosales,265,77,46021,40075,87.08
San Manuel,217,50,31225,27095,86.77
San Nicolas,175,53,26993,23509,87.09
San Quintin,139,39,24051,21120,87.81
Santa Maria,172,37,22765,20228,88.86
Tayug,191,48,29526,26221,88.81
Umingan,376,98,56259,46423,82.52
REGION II,14325,4054,2312797,1951482,84.38
BATANES,83,34,13820,11801,85.39
Lone Legislative District,,,,,
1st Provincial District,45,15,7824,6602,84.38
Basco,35,11,6344,5317,83.81
Mahatao,10,4,1480,1285,86.82
2nd Provincial District,38,19,5996,5199,86.71
Itbayat,12,5,2085,1788,85.76
Ivana,8,4,1254,1063,84.77
Sabtang,10,6,1455,1281,88.04
Uyugan,8,4,1202,1067,88.77
CAGAYAN,5107,1360,766018,653635,85.33
1st Legislative District,1957,492,271961,233283,85.78
Alcala,166,41,23914,20352,85.10 
Aparri,277,73,38402,33209,86.48
Baggao,334,83,48060,41258,85.85
Buguey,140,36,19624,16363,83.38
Camalaniugan,114,33,16502,14113,85.52
Gattaran,264,66,34861,29877,85.70 
Gonzaga,206,47,26810,23895,89.13
Lal-lo,207,50,28126,23955,85.17
Santa Ana,165,40,23532,19784,84.07
Santa Teresita,84,23,12130,10477,86.37
2nd Legislative District,1324,395,209121,175143,83.75
Abulug,133,37,20308,17278,85.08
Allacapan,123,41,21521,17633,81.93
Ballesteros,128,38,22592,18725,82.88
Calayan,63,18,9499,7656,80.60 
Claveria,173,47,21360,18455,86.40 
Lasam,166,46,26882,21601,80.35
Pamplona,100,28,16702,14252,85.33
Piat,103,27,16970,14909,87.86
Rizal,84,32,12937,10828,83.70 
Sanchez-Mira,113,31,18189,14721,80.93
Santa Praxedes,28,10,3411,2860,83.85
Santo Ni簽o,110,40,18750,16225,86.53
3rd Legislative District,1826,473,284936,245209,86.06
Amulung,257,63,32138,28007,87.15
Enrile,165,39,23072,20023,86.78
Iguig,131,34,18167,15561,85.66
Pe簽ablanca,181,51,29523,24870,84.24
Solana,319,80,49201,42666,86.72
Tuao,237,62,38816,32567,83.9
City of Tuguegarao,536,144,94019,81515,86.7
ISABELA,6637,1918,1112858,927144,83.31
1st Legislative District,1540,464,259291,212416,81.92
Cabagan,181,51,31525,27496,87.22
Delfin Albano,124,38,18541,15665,84.49
Divilacan,27,12,4053,2966,73.18
Maconacon,22,10,3176,2569,80.89
San Pablo,101,30,16934,14503,85.64
Santa Maria,101,33,18203,15484,85.06
Santo Tomas,101,36,17959,13193,73.46
Tumauini,293,83,47850,37199,77.74
City of Ilagan,590,171,101050,83341,82.48
2nd Legislative District,763,229,126619,107078,84.57
Benito Soliven,124,40,19515,16579,84.96
Gamu,132,33,20144,17183,85.30 
Naguilian,132,39,21538,18179,84.40 
Palanan,76,22,12583,10372,82.43
Reina Mercedes,102,35,18359,15101,82.25
San Mariano,197,60,34480,29664,86.03
3rd Legislative District,1115,310,179384,152023,84.75
Alicia,303,78,47975,40261,83.92
Angadanan,202,67,29668,25153,84.78
Cabatuan,137,43,25377,21922,86.39
Ramon,202,55,34940,28354,81.15
San Mateo,271,67,41424,36333,87.71
4th Legislative District,1161,311,192229,159503,82.98
Cordon,168,50,29350,25233,85.97
Dinapigue,30,9,4508,3789,84.05
Jones,213,60,30539,25952,84.98
San Agustin,94,31,16547,12963,78.34
City of Santiago,656,161,111285,91566,82.28
5th Legislative District,1037,295,174976,146019,83.45
Aurora,148,44,24591,21347,86.81
Burgos,101,31,18002,14007,77.81
Luna,99,29,15443,12733,82.45
Mallig,120,34,21355,17236,80.71
Quezon,96,28,16594,13682,82.45
Quirino,97,30,16615,14435,86.88
Roxas,257,63,40790,34376,84.28
San Manuel,119,36,21586,18203,84.33
6th Legislative District,1021,309,180359,150105,83.23
San Guillermo,80,29,13719,11474,83.64
San Isidro,97,28,17522,14616,83.42
Echague,332,103,58472,47183,80.69
City of Cauayan,512,149,90646,76832,84.76
NUEVA VIZCAYA,1736,520,296233,252486,85.23
1st Provincial District,858,271,149047,125866,84.45
Alfonso Casta簽eda,41,11,6141,5005,81.50 
Aritao,129,39,23422,19938,85.13
Bambang,190,55,33725,28975,85.92
Dupax del Norte,105,33,18898,15750,83.34
Dupax del Sur,84,26,14075,11850,84.19
Kasibu,142,46,24670,19670,79.73
Kayapa,97,37,15603,13722,87.94
Santa Fe,70,24,12513,10956,87.56
2nd Provincial District,878,249,147186,126620,86.03
Ambaguio,42,16,7421,6526,87.94
Bagabag,146,38,22035,18894,85.75
Bayombong,220,59,38252,33317,87.10 
Diadi,73,24,11517,9870,85.70 
Quezon,89,29,15611,13197,84.54
Solano,226,64,40348,34573,85.69
Villaverde,82,19,12002,10243,85.34
QUIRINO,762,222,123868,106416,85.91
1st Provincial District,387,110,62484,53218,85.17
Cabarroguis,123,33,20999,17480,83.24
Diffun,190,59,30640,26202,85.52
Saguday,74,18,10845,9536,87.93
2nd Provincial District,375,112,61384,53198,86.66
Aglipay,111,35,18977,16037,84.51
Maddela,165,46,25180,21879,86.89
Nagtipunan,99,31,17227,15282,88.71
REGION III,45094,10993,7289791,6304414,86.48
AURORA,1036,279,154688,130167,84.15
1st Provincial District,659,166,95292,80436,84.41
Baler,211,42,28138,23121,82.17
Dingalan,134,31,19055,16285,85.46
Maria Aurora,177,57,28333,24178,85.34
San Luis,137,36,19766,16852,85.26
2nd Provincial District,377,113,59396,49731,83.73
Casiguran,108,35,17926,14717,82.10 
Dilasag,69,19,11250,9547,84.86
Dinalungan,51,16,9095,7810,85.87
Dipaculao,149,43,21125,17657,83.58
BATAAN,3777,861,566479,498293,87.96
1st Legislative District,1121,243,156757,138724,88.50 
Abucay,205,42,28142,25112,89.23
Hermosa,346,76,50030,44019,87.99
Orani,367,75,48916,42686,87.26
Samal,203,50,29669,26907,90.69
2nd Legislative District,1281,308,197735,173406,87.70 
Limay,369,90,57262,51205,89.42
Orion,279,62,40056,35485,88.59
Pilar,207,53,30946,25792,83.35
City of Balanga,426,103,69471,60924,87.70 
3rd Legislative District,1375,310,211987,186163,87.82
Bagac,157,38,24423,21756,89.08
Morong,135,35,23488,20651,87.92
Mariveles,598,120,89085,77292,86.76
Dinalupihan,485,117,74991,66464,88.63
BULACAN,12659,2878,2007523,1758220,87.58
