Region/Province/City/Municipality/Legislative/Provincial District,Number of Established Precincts,Number of Clustered Precincts,Number of Registered Voters,Number of Voters Who Actually Voted,Voters' Turnout (%)
Gen. S. K. Pendatun,118,37,20771,15427,74.27
Guindulungan,80,22,13999,11090,79.22
Mamasapano,90,25,15336,14920,97.29
Mangudadatu,82,24,15039,12376,82.29
Pagagawan,135,35,23231,17633,75.90 
Pagalungan,141,39,25871,18582,71.83
Paglat,68,19,12452,7727,62.05
Pandag,78,23,14287,7140,49.98
Rajah Buayan,85,24,15405,11661,75.70 
Shariff Aguak,122,32,19810,17381,87.74
Shariff Saydona Musthapa,67,17,8814,8512,96.57
South Upi,166,48,30643,19120,62.40 
Sultan Sa Barongis,103,29,18343,9470,51.63
Talayan,102,31,18163,17402,95.81
Talitay,100,28,18582,11449,61.61
SULU,2694,751,433372,375265,86.59
1st Legislative District,1469,416,246813,206681,83.74
Hadji Panglima Tahil,35,9,5324,4958,93.13
Indanan,200,58,34055,31333,92.01
Jolo,306,83,53813,36636,68.08
Maimbung,208,59,35441,32541,91.82
Pangutaran,115,31,18478,13206,71.47
Parang,199,59,33912,24918,73.48
Patikul,230,60,36205,34245,94.59
Talipao,176,57,29585,28844,97.50 
2nd Legislative District,1225,335,186559,168584,90.36
Kalingalan Caluang,105,27,16984,15678,92.31
Lugus,122,31,18720,16271,86.92
Luuk,137,40,25352,24687,97.38
Old Panamao,152,39,18822,17590,93.45
Omar,95,26,16313,11005,67.46
Pandami,105,29,16389,13850,84.51
Panglima Estino,75,18,9816,9289,94.63
Pata,56,15,7269,6905,94.99
Siasi,228,63,32179,30230,93.94
Tapul,70,22,11292,10293,91.15
Tongkil,80,25,13423,12786,95.25
TAWI-TAWI,1339,403,232845,192146,82.52
Lone Legislative District,,,,,
1st Provincial District,825,237,147097,112513,76.49
Bongao,356,98,62285,49374,79.27
Mapun,100,33,17614,13706,77.81
Sibutu,96,28,17298,14287,82.59
Simunul,90,27,15763,11747,74.52
Sitangkai,137,38,25806,17788,68.93
Turtle Islands,46,13,8331,5611,67.35
2nd Provincial District,514,166,85748,79633,92.87
Languyan,121,36,19434,18476,95.07
Panglima Sugala,113,36,20206,19624,97.12
Sapa-Sapa,108,34,18419,17040,92.51
South Ubian,89,32,13913,13034,93.68
Tandubas,83,28,13776,11459,83.18
